Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,AUS,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.454492324,0.458021126,0.446288283,0.437207008,0.435703096,0.433323969,0.429941738,0.435937094,0.422353196,0.413136795,0.412418358,0.405672266,0.392969757,0.39120474,0.381371337,0.377006244,0.373088187,0.363425436,0.361945906,0.35841249,0.347911785,0.335212072,0.320650014,0.305300431,0.301987731,0.299721467,0.29471346,0.285330736,0.278347549,0.268198498,0.257406049,0.240640374,0.231849955,0.231849955
Austria,AUT,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.190419594,0.172303084,0.171556775,0.168988835,0.172577338,0.179167124,0.174262418,0.169780373,0.15914066,0.155305286,0.164055539,0.165823293,0.175035256,0.173800289,0.171576413,0.161718749,0.150201328,0.147654656,0.138530588,0.147544455,0.140237859,0.133247688,0.13471588,0.126630042,0.127731042,0.125850317,0.127272908,0.119016143,0.119307369,0.116327992,0.117345187,0.103122099,0.100020331,0.100020331
Azerbaijan,AZE,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.714179122,0.755569444,0.86182457,0.94046733,1.046759994,0.866246351,0.790461101,0.717466241,0.668414974,0.632421888,0.553920438,0.501932904,0.493368283,0.447418348,0.370016288,0.281521329,0.203179458,0.204746451,0.162530028,0.147639477,0.165952375,0.177869182,0.172894484,0.175850394,0.173013089,0.177925255,0.176696339,0.17679102,0.183527253,0.183400494,0.183607256,0.184671808,0.197636337,0.197636337
Burundi,BDI,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.03454335,0.026932851,0.03196142,0.034427457,0.03680626,0.042997819,0.04369253,0.04402939,0.045796854,0.046098807,0.035927702,0.032490431,0.027247368,0.030965345,0.025829443,0.030951737,0.047898656,0.027193042,0.026359957,0.036149517,0.045317702,0.041855412,0.045103298,0.038495555,0.042550952,0.047784528,0.052893342,0.069986302,0.07572975,0.083837044,0.08180482,0.07599327,0.074434589,0.074434589
Belgium,BEL,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.283161769,0.273992215,0.272112598,0.278221053,0.272420097,0.279832604,0.263276413,0.264407095,0.246606473,0.241504633,0.240721362,0.222697531,0.229483724,0.219073679,0.209124288,0.198864737,0.186582295,0.187984504,0.17994702,0.187552103,0.167348379,0.164614755,0.166240628,0.152878283,0.157833128,0.15426821,0.149683644,0.147510523,0.14368279,0.139409636,0.136929193,0.122449896,0.11367029,0.11367029
Benin,BEN,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.028718018,0.03032337,0.029013813,0.028898282,0.027697761,0.071898963,0.08632374,0.080027014,0.083245877,0.084350495,0.096226305,0.106103914,0.114888051,0.117282725,0.126271367,0.167333318,0.179926744,0.170252065,0.17851371,0.18964872,0.179823659,0.163414124,0.160391041,0.165646766,0.173203996,0.206179033,0.197734424,0.211034943,0.192249041,0.197733253,0.138973212,0.134059595,0.122602948,0.122602948
Burkina Faso,BFA,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.041490476,0.035426611,0.035914246,0.038621403,0.037525474,0.037466046,0.056316446,0.049533166,0.047695207,0.051583289,0.055805084,0.056769445,0.058513958,0.049991096,0.049053924,0.047010924,0.063497597,0.070219539,0.066017291,0.064969347,0.069129645,0.07593983,0.084509625,0.072659842,0.098939066,0.093203577,0.100396211,0.1049846,0.110077007,0.107930703,0.108470245,0.110683974,0.104971616,0.104971616
Bangladesh,BGD,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.058833918,0.062395786,0.064208644,0.06562538,0.075530722,0.073281732,0.076076166,0.073908267,0.075372363,0.073898804,0.085073476,0.086228994,0.086265011,0.086343761,0.086332429,0.087161784,0.086516873,0.090633989,0.092667059,0.096758774,0.097669558,0.098102147,0.095458719,0.095716285,0.100137593,0.102839125,0.103717137,0.10091007,0.095834262,0.087824713,0.093527522,0.092863238,0.088299351,0.088299351
Bulgaria,BGR,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.543870097,0.560352597,0.576220822,0.540606964,0.537333435,0.513192315,0.574938976,0.530853177,0.510848603,0.469498876,0.473303708,0.42198212,0.4504004,0.407055331,0.387814902,0.37380349,0.373855477,0.333462886,0.29425532,0.308263407,0.334124186,0.302174125,0.270563648,0.285286975,0.290721014,0.266718159,0.271473138,0.248359164,0.230700913,0.211187767,0.227174213,0.238779446,0.186260241,0.186260241
Bahrain,BHR,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.482705246,0.532454127,0.510283306,0.521006583,0.509446738,0.50702316,0.506303405,0.512129536,0.493619875,0.480830782,0.485802214,0.491119909,0.478109643,0.447461284,0.491666156,0.502879107,0.471716533,0.475195127,0.463201909,0.462897279,0.456789789,0.45845555,0.462998462,0.460054993,0.451135162,0.434379003,0.417513866,0.409941751,0.437600289,0.465058322,0.450886022,0.413404259,0.410434118,0.410434118
"Bahamas, The",BHS,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.112231298,0.100643103,0.103131868,0.110832254,0.122786218,0.131490922,0.130903867,0.143632647,0.120465032,0.08897026,0.08627621,0.091989395,0.069393483,0.074270068,0.070720618,0.087824778,0.103832074,0.110187416,0.095645111,0.106724133,0.07061935,0.080443938,0.088849787,0.0908525,0.088689105,0.099746933,0.106435409,0.11673081,0.135216817,0.137266826,0.129137822,0.116959714,0.119676161,0.119676161
Bosnia and Herzegovina,BIH,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,2.25974437,1.782234158,1.5291289,0.333315699,0.306115182,0.248502078,0.360640925,0.391784032,0.352585552,0.438550375,0.42264536,0.423294597,0.417443229,0.414430031,0.419090518,0.441097246,0.439759615,0.457806011,0.472156689,0.480154127,0.540894811,0.503129288,0.489519512,0.433504632,0.41623724,0.4549813,0.449786864,0.434515258,0.396586739,0.407782957,0.387034348,0.367262136,0.348729443,0.348729443
Belarus,BLR,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.817408143,0.817021063,0.763400411,0.736994871,0.735325704,0.726321862,0.65675932,0.591170041,0.55138491,0.504118684,0.470487606,0.44954389,0.424841945,0.404110882,0.37457665,0.35438644,0.318980183,0.307026932,0.291567315,0.290331578,0.261943699,0.262873747,0.260926782,0.254861402,0.245116412,0.251023389,0.249629132,0.255422522,0.243126635,0.231975619,0.228290748,0.232049481,0.212457479,0.212457479
Belize,BLZ,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.085357256,0.063150593,0.058012345,0.056339114,0.063209335,0.051911668,0.086069108,0.084193829,0.080391022,0.050590341,0.048985371,0.046443896,0.044671026,0.039123234,0.042157392,0.046746358,0.043666456,0.042876559,0.052115865,0.061171204,0.039324667,0.041238354,0.049775698,0.047613086,0.055947692,0.058963084,0.065607793,0.056461458,0.058959498,0.055855395,0.053198892,0.051696069,0.054389783,0.054389783
Bermuda,BMU,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.051468505,0.040697755,0.044093996,0.043416854,0.041817128,0.041551218,0.040794381,0.04019974,0.039391763,0.024912455,0.022971571,0.025967835,0.025945876,0.025639014,0.027112834,0.032003766,0.037051774,0.037987923,0.035315071,0.045743537,0.023584165,0.02885331,0.032225186,0.045982981,0.038695771,0.052639804,0.046515544,0.051107765,0.058528662,0.055298398,0.0554766,0.052306905,0.052570157,0.052570157
Bolivia,BOL,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.179329921,0.190032645,0.218017723,0.224812023,0.194157423,0.179847563,0.207778113,0.197960954,0.171964774,0.155038125,0.147469462,0.153531487,0.159207176,0.160141863,0.161223112,0.166915412,0.177613361,0.179148851,0.18432933,0.191686005,0.198245189,0.199679067,0.198584666,0.202485175,0.197970827,0.203283714,0.198909916,0.192428794,0.188589506,0.17435888,0.193257614,0.194457296,0.197516599,0.197516599
Brazil,BRA,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.123590844,0.126079586,0.125517788,0.12305627,0.127743881,0.134198658,0.137841681,0.141379165,0.143869169,0.143360882,0.142170843,0.137996507,0.134517858,0.13408567,0.131328565,0.127848418,0.126793221,0.126679675,0.118467624,0.12569599,0.127415086,0.1342435,0.137000542,0.142290706,0.139807023,0.134723235,0.13629076,0.127476679,0.125232351,0.123748953,0.13358561,0.122734498,0.119027223,0.119027223
Barbados,BRB,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.139166636,0.143419658,0.135408547,0.129243729,0.129711484,0.121985216,0.138336176,0.146727708,0.153130562,0.119122308,0.117260724,0.124798945,0.128483402,0.125424455,0.123459308,0.125827493,0.118467347,0.138805313,0.147355242,0.154792101,0.129129644,0.122708803,0.14077841,0.128555667,0.139824537,0.147527535,0.129968518,0.142439821,0.15972521,0.151381531,0.171112418,0.145714839,0.146690409,0.146690409
