Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Bahamas, The",BHS,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,99,,,,,,,,,100,,,,,,,,,,,99.46231079,,100,,,,,,,,,99.69999695,,
Belarus,BLR,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,100,,,,,,,,,,100,,,100,,,,,,,100,,,,,
Belize,BLZ,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,78,,,,,,,,,,87.19999695,,,,,,,,,,,,,,97.94930267,,,,,,,,,
Bermuda,BMU,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,94,,,,,,,,97.30999756,97.36000061,98.05999756,98.30000305,99.08999634,98.84999847,98.41000366,99.44000244,99.16999817,99.37999725,,99.01000214,99.33000183,99.31999969,99.44000244,99.40000153,99.41999817,99.37999725,99.56999969,99.52999878,99.55999756,99.51999664,,,
Brazil,BRA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,94,95.80000305,96.30999756,96.62999725,96.80999756,97.11000061,97.55000305,97.77999878,97.83999634,98.05999756,98,98.48999786,98.62000275,98.73999786,98.84999847,98.95999908,99.06999969,99.13999939,99.04000092,99.09999847,99.23000336,99.27999878,99.27999878,,
Barbados,BRB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,
Brunei Darussalam,BRN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,98,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99.76999664,,,
Bhutan,BTN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,74,,,,,,,86,,,,,93,,,,,98,,
Botswana,BWA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,89,,,,,,,,,,,,94,,,,,,,,,,97.4562912,,,,,,,,,,,
Central African Republic,CAF,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,61,,,,,,,,,,36.35626984,,,,,,,,38,50.6020813,38.34000015,,,,
Canada,CAN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,99.45568085,99.44854736,99.44644928,99.44500732,,,,,,,,,,,,,,,,,,,,99.49175262,99.50956726,99.52469635,99.53878021,99.62960815,99.63790131,99.64524078,99.65083313,99.65283966,,
Switzerland,CHE,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,98,,,,,,,,99.09999847,,99,99.11000061,,,99.11000061,,,99.37000275,,99.41000366,,99.06999969,,99.36000061,,99.01999664,,,,,99.30999756,,
China,CHN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,99,,,,,,,,,,100,,,,,,,,,,100,,,,
Cote d'Ivoire,CIV,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,47,,61,,,,,,,,,,,,48.30995941,,53,,62.99058151,,,84,,66.8442688,,,
